#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-07-12T12:56:36 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-12T12:56:36	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=V%2f50%2fcatalog&-out.max=unlimited&-out=HR%2cName%2cHD%2cVmag%2cB-V&-out.add=_RAJ2000%2c_DEJ2000&-oc.form=dec	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_5050
#Name: V/50
#Title: Bright Star Catalogue, 5th Revised Ed. (Hoffleit+, 1991)
#INFO	ivoid=ivo://cds.vizier/v/50	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/v/50	    IVOID of underlying data collection
#INFO	creator=Hoffleit D.	    First author or institution
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/V/50	    Dataset landing page
#INFO	publication_date=1997-12-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	V_50_catalog:
#Name: V/50/catalog
#Title: The main part of the Catalogue
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	HR	(I4)	[1/9110]+ Harvard Revised Number = Bright Star Number	[ucd=meta.id;meta.main]
#Column	Name	(a10)	Name, generally Bayer and/or Flamsteed name	[ucd=meta.id]
#Column	HD	(I6)	[1/225300]? Henry Draper Catalog Number	[ucd=meta.id]
#Column	Vmag	(F5.2)	?Visual magnitude (1)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	? B-V color in the UBV system	[ucd=phot.color;em.opt.B;em.opt.V]
_RAJ2000	_DEJ2000	HR	Name	HD	Vmag	B-V
272.975833	+31.405278	6815	104    Her	167006	 4.97	 1.65
273.566250	-21.713056	6816	 14    Sgr	167036	 5.44	 1.52
272.631667	+54.286667	6817	          	167042	 5.95	 0.94
273.969583	-44.206667	6818	          	167096	 5.46	 0.96
274.281250	-56.023333	6819	          	167128	 5.33	-0.05
273.318750	+21.880278	6820	          	167193	 6.12	 1.47
274.253750	-51.068333	6821	          	167257	 6.06	-0.06
273.803750	-20.728333	6822	 15    Sgr	167264	 5.38	 0.07
273.803750	-20.388056	6823	 16    Sgr	167263	 5.95	 0.02
273.177500	+41.146944	6824	          	167304	 6.36	 1.03
273.878333	-18.661389	6825	          	167356	 6.07	 0.20
273.270000	+38.773611	6826	          	167370	 6.04	-0.08
272.779583	+60.409444	6827	          	167387	 6.49	 0.00
274.917500	-63.886944	6828	          	167425	 6.18	 0.58
275.900417	-75.044167	6829	   Phi Oct	167468	 5.47	 0.02
273.991667	 -3.617500	6830	          	167564	 6.36	 0.20
273.683333	+29.207222	6831	          	167588	 6.56	 0.54
274.406667	-36.761667	6832	   Eta Sgr	167618	 3.11	 1.56
274.400417	-34.107222	6833	          	167647	 6.16	-0.11
274.023333	 +2.377778	6834	          	167654	 6.01	 1.59
274.350000	-28.652500	6835	          	167666	 6.19	 0.18
274.348750	-28.289167	6836	          	167665	 6.40	 0.54
277.331250	-80.232778	6837	          	167714	 5.95	 1.16
274.298333	-17.373889	6838	          	167720	 5.75	 1.58
274.666667	-42.288333	6839	          	167756	 6.30	-0.11
274.221250	 -3.007222	6840	          	167768	 6.00	 0.89
274.368750	-18.463333	6841	          	167771	 6.54	 0.11
274.513333	-27.042500	6842	          	167818	 4.65	 1.66
274.350833	 -9.758611	6843	          	167833	 6.31	 0.38
274.270000	 +1.005833	6844	          	167858	 6.63	 0.31
273.911667	+42.159444	6845	          	167965	 5.59	-0.10
274.673750	-25.604722	6846	          	167979	 6.51	 1.34
273.885833	+45.209444	6847	          	168009	 6.29	 0.62
274.680417	-18.619444	6848	          	168021	 6.84	 0.31
273.671250	+56.588333	6849	          	168092	 6.37	 0.34
273.474167	+64.397222	6850	 36    Dra	168151	 5.03	 0.38
274.512083	+13.776944	6851	          	168199	 6.30	-0.03
274.532083	+18.131389	6852	          	168270	 5.99	 0.03
274.278333	+40.936667	6853	          	168322	 6.11	 0.99
274.532083	+23.296667	6854	          	168323	 6.63	
275.806667	-61.493889	6855	   Xi  Pav	168339	 4.36	 1.48
275.230417	-37.487500	6856	          	168357	 6.45	 1.31
274.789583	 +7.259722	6857	          	168387	 5.39	 1.07
275.036667	-15.831667	6858	          	168415	 5.39	 1.47
275.248750	-29.828056	6859	 19Del Sgr	168454	 2.70	 1.38
274.794583	+24.446111	6860	105    Her	168532	 5.27	 1.53
275.380833	-24.915000	6861	          	168574	 6.25	 1.84
275.577500	-38.656944	6862	          	168592	 5.10	 1.49
275.346250	-18.860000	6863	          	168608	 5.75	 0.94
275.500833	-28.430000	6864	          	168646	 6.16	 0.26
273.820833	+68.755833	6865	 37    Dra	168653	 5.95	 1.06
275.217083	 +3.377222	6866	 74    Oph	168656	 4.86	 0.91
274.967083	+29.666111	6867	          	168694	 5.99	 1.29
275.074583	+21.961389	6868	106    Her	168720	 4.95	 1.59
275.327500	 -2.898889	6869	 58Eta Ser	168723	 3.26	 0.94
275.721250	-36.669444	6870	          	168733	 5.34	-0.14
276.381250	-63.021389	6871	          	168740	 6.14	 0.20
274.965417	+36.064444	6872	  1Kap Lyr	168775	 4.33	 1.17
275.368750	 +5.435833	6873	          	168797	 6.13	-0.04
275.870417	-36.238333	6874	          	168838	 5.55	 1.02
276.075833	-44.110278	6875	          	168905	 5.25	-0.19
275.237917	+29.858889	6876	108    Her	168913	 5.63	 0.21
275.254167	+28.870000	6877	107    Her	168914	 5.12	 0.20
275.759167	-10.218611	6878	          	169009	 6.33	 0.14
276.042917	-34.384722	6879	 20Eps Sgr	169022	 1.85	-0.03
274.983750	+51.347778	6880	          	169028	 6.30	 1.10
275.800833	-12.014722	6881	          	169033	 5.73	 0.01
275.536250	+23.285278	6882	          	169110	 5.41	 1.60
275.647083	+12.028889	6883	          	169111	 5.89	 0.04
275.914583	 -8.934167	6884	   Zet Sct	169156	 4.68	 0.95
275.704167	+17.826667	6885	          	169191	 5.25	 1.27
275.279583	+49.725556	6886	          	169221	 6.40	 1.07
275.762083	+16.688056	6887	          	169223	 6.22	 1.20
276.256250	-30.756667	6888	 18    Sgr	169233	 5.60	 1.14
276.340417	-35.991667	6889	          	169236	 6.15	 1.00
276.014583	 -3.583333	6890	          	169268	 6.38	 0.34
275.386250	+49.121667	6891	          	169305	 5.05	 1.66
276.175417	 -7.075278	6892	          	169370	 6.31	 1.16
276.477500	-33.945278	6893	          	169398	 6.30	-0.08
276.724583	-48.116944	6894	          	169405	 5.46	 0.84
275.924583	+21.769722	6895	109    Her	169414	 3.84	 1.18
276.337500	-20.541667	6896	 21    Sgr	169420	 4.81	 1.31
276.743333	-45.968333	6897	   Alp Tel	169467	 3.51	-0.17
276.237500	 -1.579444	6898	          	169493	 6.15	 0.37
278.230417	-73.965556	6899	          	169570	 5.89	 0.98
276.286667	 +5.084722	6900	          	169578	 6.74	 0.02
275.989167	+38.739167	6901	          	169646	 6.36	
276.411667	 +8.031944	6902	          	169689	 5.65	 0.92
276.057500	+39.507222	6903	  2Mu  Lyr	169702	 5.12	 0.03
276.243750	+27.395278	6904	          	169718	 6.27	 0.05
277.207917	-49.070833	6905	   Zet Tel	169767	 4.13	 1.02
276.480833	+14.966667	6906	          	169820	 6.37	 0.01
276.956250	-29.816389	6907	          	169830	 5.92	 0.52
277.486250	-57.523056	6908	          	169836	 5.76	 0.98
276.932500	-26.634722	6909	          	169851	 6.31	 0.26
277.112917	-38.995556	6910	          	169853	 5.64	 0.13
275.949167	+53.300833	6911	          	169885	 6.32	 0.16
280.558750	-81.807778	6912	          	169904	 6.27	-0.13
276.992500	-25.421667	6913	 22Lam Sgr	169916	 2.81	 1.04
277.025833	-26.757222	6914	          	169938	 6.27	 0.16
277.303750	-43.845833	6915	          	169943	 6.36	 0.90
277.843333	-62.278333	6916	   Nu  Pav	169978	 4.64	-0.11
276.495000	+29.828889	6917	          	169981	 5.83	 0.06
276.802083	 +0.196111	6918	 59    Ser	169985	 5.21	 0.50
276.985417	-17.800000	6919	          	169990	 6.20	 0.01
275.189583	+71.337778	6920	 43Phi Dra	170000	 4.22	-0.10
277.320000	-38.851111	6921	          	170040	 6.63	-0.02
277.482500	-47.220278	6922	          	170069	 5.70	 1.26
275.977083	+58.800556	6923	 39    Dra	170073	 4.98	 0.08
276.670417	+26.449444	6924	          	170111	 6.53	-0.11
276.959583	 +3.748611	6925	          	170137	 6.07	 1.62
277.239167	-26.581667	6926	          	170141	 6.50	 0.11
275.264167	+72.732778	6927	 44Chi Dra	170153	 3.57	 0.49
276.995000	 +6.194167	6928	          	170200	 5.73	-0.03
277.341667	-25.256389	6929	          	170235	 6.59	 0.07
277.299583	-14.565833	6930	   Gam Sct	170296	 4.70	 0.06
277.762500	-41.913611	6931	          	170384	 6.04	 0.14
277.445000	-14.581667	6932	          	170397	 5.96	-0.04
277.549583	-18.728889	6933	          	170433	 5.66	 1.06
277.939167	-45.915000	6934	   Del1Tel	170465	 4.96	-0.11
277.420833	 -1.985278	6935	 60    Ser	170474	 5.39	 0.96
277.770000	-32.989167	6936	          	170479	 5.34	 0.16
277.984167	-43.507778	6937	          	170521	 5.72	 1.34
278.008333	-45.757222	6938	   Del2Tel	170523	 5.07	-0.14
278.372917	-58.709167	6939	          	170525	 6.44	 0.68
277.559583	 -5.724167	6940	          	170547	 6.28	 0.95
277.521250	 +4.065278	6941	          	170580	 6.69	 0.11
278.089167	-39.703889	6942	          	170642	 5.16	 0.08
277.398750	+23.866111	6943	          	170650	 5.90	-0.10
277.859583	-18.402778	6944	          	170680	 5.14	 0.00
276.496250	+65.563611	6945	 42    Dra	170693	 4.82	 1.19
277.857083	-10.795833	6946	          	170740	 5.72	 0.24
277.972083	-19.125000	6947	          	170764	 6.68	 1.13
278.253750	-39.892222	6948	          	170773	 6.22	 0.42
276.926250	+59.549167	6949	          	170811	 6.43	
277.673333	+20.815278	6950	          	170829	 6.50	 0.79
278.375833	-42.312500	6951	   The CrA	170845	 4.64	 1.01
278.347083	-38.720278	6952	   Kap1CrA	170868	 6.32	
278.346250	-38.726111	6953	   Kap2CrA	170867	 5.65	-0.06
278.630000	-52.891944	6954	          	170873	 6.22	 1.25
277.768333	+16.928611	6955	          	170878	 5.77	 0.04
278.086667	-14.644167	6956	          	170902	 6.37	 0.22
277.987500	 -1.003056	6957	 61    Ser	170920	 5.94	 0.16
278.029167	 +3.659722	6958	          	170973	 6.43	-0.04
278.180417	-14.865556	6959	          	170975	 5.50	 1.97
278.490833	-33.016667	6960	          	171034	 5.28	-0.11
278.472917	-24.032500	6961	 24    Sgr	171115	 5.49	 1.79
278.412500	-14.853611	6962	          	171130	 5.76	 0.04
278.345417	 -5.911389	6963	          	171149	 6.36	 0.02
282.991250	-83.316389	6964	          	171161	 7.16	 1.26
278.636667	-24.222500	6965	 25    Sgr	171237	 6.51	 0.54
278.192500	+23.616944	6966	          	171245	 5.84	 1.46
278.347083	 +8.268333	6967	          	171247	 6.42	-0.03
278.207917	+30.554167	6968	          	171301	 5.48	-0.10
278.838750	-20.840833	6969	          	171369	 6.48	 0.28
278.760000	-10.977222	6970	          	171391	 5.14	 0.92
278.346250	+30.892500	6971	          	171406	 6.59	-0.12
278.998750	-29.699167	6972	          	171416	 6.37	 1.27
278.801667	 -8.244167	6973	   Alp Sct	171443	 3.85	 1.33
278.047500	+52.115556	6974	          	171461	 6.56	-0.07
278.581667	+20.466389	6975	          	171487	 6.57	 0.11
278.697917	+10.891667	6976	          	171505	 6.40	 0.08
278.802500	+18.203333	6977	          	171623	 5.78	 0.00
278.143750	+57.045556	6978	 45    Dra	171635	 4.77	 0.61
277.811667	+65.436111	6979	          	171653	 6.59	 0.30
278.876667	+23.605556	6980	          	171745	 5.61	 1.00
278.971667	+16.975556	6981	          	171746	 6.21	 0.53
280.758750	-71.428056	6982	   Zet Pav	171759	 4.01	 1.14
278.486250	+52.353611	6983	          	171779	 5.36	 1.09
278.806250	+34.457778	6984	          	171780	 6.10	-0.11
279.115833	 +9.122500	6985	          	171802	 5.39	 0.37
279.809583	-47.909722	6986	          	171819	 5.86	 0.23
279.162917	 +6.671944	6987	          	171834	 5.45	 0.37
279.476667	-21.397778	6988	          	171856	 5.94	 0.19
279.519167	-14.004722	6989	          	171957	 6.47	 0.21
279.627917	-23.505000	6990	          	171961	 5.81	 0.02
279.895833	-43.186111	6991	          	171967	 5.37	 1.68
279.302500	+11.421667	6992	          	171975	 6.42	-0.02
279.400000	 -0.309444	6993	          	171978	 5.75	 0.07
281.955833	-77.867222	6994	          	171990	 6.39	 0.60
279.287500	+16.198333	6995	          	171994	 6.29	 0.90
280.593750	-64.643056	6996	          	172021	 6.37	 0.15
279.155000	+33.468889	6997	          	172044	 5.42	-0.10
279.722500	-21.051944	6998	          	172051	 5.86	 0.68
279.598750	 -3.193611	6999	          	172088	 6.49	 0.55
279.579583	 -1.113333	7000	          	172103	 6.66	 0.42
279.234583	+38.783611	7001	  3Alp Lyr	172167	 0.03	 0.00
279.587500	 +8.833889	7002	          	172171	 6.40	 1.32
279.190000	+43.221944	7003	          	172187	 6.20	 0.24
280.905000	-64.551111	7004	          	172211	 5.78	 0.96
280.377500	-48.095000	7005	          	172223	 6.49	 1.22
277.437083	+77.546944	7006	          	172340	 5.64	 1.18
280.002083	 -7.790556	7007	          	172348	 5.84	 1.55
279.903750	 +5.264167	7008	          	172365	 6.38	 0.78
279.527083	+39.668056	7009	          	172380	 6.04	 1.65
279.965000	 +7.358333	7010	          	172424	 6.28	 0.96
280.465000	-23.833333	7011	 26    Sgr	172546	 6.23	 0.23
281.362083	-64.871389	7012	          	172555	 4.79	 0.20
279.055417	+65.488611	7013	          	172569	 6.06	 0.28
280.427083	-14.564167	7014	          	172594	 6.42	 0.81
281.297917	-61.095000	7015	          	172630	 6.04	 1.46
280.008333	+30.849444	7016	          	172631	 6.36	
279.887917	+40.935000	7017	          	172671	 6.25	-0.06
279.389583	+62.526667	7018	          	172728	 5.74	-0.06
280.050833	+38.367222	7019	          	172741	 6.45	 0.21
280.568333	 -9.052500	7020	   Del Sct	172748	 4.72	 0.35
280.945417	-38.323611	7021	   Lam CrA	172777	 5.13	 0.09
281.348750	-56.881667	7022	          	172781	 6.22	 1.38
280.730000	-19.283889	7023	          	172816	 6.35	 1.75
280.650417	 -7.073333	7024	          	172831	 6.15	 1.00
276.038333	+83.175278	7025	          	172864	 6.17	 0.05
281.032083	-36.718611	7026	          	172875	 6.32	 0.98
282.431250	-72.994722	7027	          	172881	 6.06	 0.00
279.970000	+52.196111	7028	          	172883	 6.00	-0.07
281.080833	-35.641944	7029	          	172910	 4.87	-0.18
280.422083	+31.617778	7030	          	172958	 6.41	-0.04
281.238333	-39.686389	7031	          	172991	 5.43	 0.87
280.880417	 -8.275278	7032	   Eps Sct	173009	 4.90	 1.12
280.533750	+34.746667	7033	          	173087	 6.47	-0.13
280.964167	 -6.818611	7034	          	173093	 6.31	 0.48
281.206667	-25.011111	7035	          	173117	 5.83	 0.05
282.157500	-65.077778	7036	   The Pav	173168	 5.73	 0.24
          	          	7539	 NOVA 1670	      	     	
281.746250	-50.094444	7037	          	173263	 6.54	 0.28
281.327917	-21.001389	7038	          	173282	 6.36	 0.45
281.414167	-26.990833	7039	 27Phi Sgr	173300	 3.17	-0.11
281.207917	 +2.060000	7040	  4    Aql	173370	 5.02	-0.06
280.819583	+39.300278	7041	          	173383	 6.45	 1.59
280.234583	+62.749722	7042	          	173398	 6.09	 0.98
280.900417	+36.556667	7043	          	173416	 6.01	 1.04
280.965000	+31.926667	7044	          	173417	 5.70	 0.34
281.505000	-19.606389	7045	          	173425	 6.42	 1.65
281.585833	-22.392222	7046	 28    Sgr	173460	 5.37	 1.64
281.167500	+23.589722	7047	          	173494	 6.31	 0.40
281.368333	 +5.499722	7048	          	173495	 5.83	 0.04
280.657917	+55.539444	7049	 46    Dra	173524	 5.04	-0.09
281.935833	-40.406111	7050	   Mu  CrA	173540	 5.24	 0.78
281.085000	+39.670000	7051	  4Eps1Lyr	173582	 5.06	 0.16
281.084583	+39.671111	7052	  4Eps1Lyr	173583	 6.02	
281.095417	+39.613056	7053	  5Eps2Lyr	173607	 5.14	 0.19
281.095417	+39.612778	7054	  5Eps2Lyr	173608	 5.37	
281.680417	-10.125000	7055	          	173638	 5.71	 0.59
281.193333	+37.605000	7056	  6Zet1Lyr	173648	 4.36	 0.19
281.200833	+37.594444	7057	  7Zet2Lyr	173649	 5.73	 0.28
281.398750	+21.985000	7058	          	173650	 6.51	 0.02
281.618750	 -0.961667	7059	  5    Aql	173654	 5.90	 0.13
280.870833	+53.871944	7060	          	173664	 6.11	 0.12
281.415417	+20.546389	7061	110    Her	173667	 4.19	 0.46
282.210417	-43.680000	7062	   Eta1CrA	173715	 5.49	 0.13
281.793750	 -4.747778	7063	   Bet Sct	173764	 4.22	 1.10
281.518750	+26.662222	7064	          	173780	 4.83	 1.20
282.364167	-45.810278	7065	          	173791	 5.81	 0.90
281.870833	 -5.705000	7066	          	173819	 5.20	 1.47
281.672500	+18.705833	7067	          	173833	 6.17	 1.59
282.395833	-43.433889	7068	   Eta2CrA	173861	 5.61	-0.08
281.755417	+18.181389	7069	111    Her	173880	 4.36	 0.13
282.321667	-34.748611	7070	          	173902	 6.62	 1.08
281.230833	+54.896667	7071	          	173920	 6.23	 0.82
282.188750	-18.601389	7072	          	173928	 6.47	
281.554167	+41.441667	7073	          	173936	 6.07	-0.13
283.054167	-62.187500	7074	   Lam Pav	173948	 4.22	-0.14
281.075833	+61.048056	7075	          	173949	 5.99	 0.96
282.011250	 +4.241389	7076	          	173954	 6.21	 1.51
282.397917	-19.142222	7077	          	174115	 6.75	 0.20
282.417083	-20.324722	7078	 29    Sgr	174116	 5.24	 1.41
282.068333	+23.514167	7079	          	174160	 6.15	 0.49
281.745833	+46.315000	7080	          	174177	 6.52	 0.07
281.989583	+31.756944	7081	          	174179	 6.06	-0.13
280.792500	+70.792778	7082	          	174205	 6.44	
282.420833	 -5.912778	7083	          	174208	 5.99	 1.60
281.679583	+52.988056	7084	          	174237	 5.88	-0.09
282.404583	 +0.835833	7085	          	174240	 6.25	 0.04
282.222500	+19.328611	7086	          	174262	 5.88	 0.03
283.165000	-52.107500	7087	   Kap Tel	174295	 5.17	 0.94
282.710417	-22.162222	7088	 30    Sgr	174309	 6.61	 0.38
282.583333	 -7.907500	7089	          	174325	 6.80	 3.09
281.916667	+49.075000	7090	          	174366	 6.40	
282.310000	+25.046389	7091	          	174369	 6.59	
283.112917	-46.595278	7092	          	174387	 5.54	 1.63
283.300417	-51.931111	7093	          	174430	 6.31	-0.09
282.743750	 -9.774167	7094	          	174464	 5.83	 0.61
283.260417	-48.360000	7095	          	174474	 6.19	 0.14
282.067083	+48.767500	7096	          	174481	 6.12	 0.21
283.248333	-46.585833	7097	          	174500	 6.19	 0.03
282.433333	+31.629167	7098	          	174567	 6.64	 0.02
282.690000	+10.976389	7099	          	174569	 6.55	
282.441250	+32.812778	7100	  8Nu 1Lyr	174585	 5.91	-0.16
282.842083	 -3.317778	7101	  8    Aql	174589	 6.10	 0.30
282.470417	+32.550833	7102	  9Nu 2Lyr	174602	 5.25	 0.08
283.118750	-26.650278	7103	          	174630	 6.29	 0.94
283.154167	-29.379444	7104	          	174631	 6.13	 1.35
283.173750	-30.734167	7105	          	174632	 6.63	-0.05
282.520000	+33.362778	7106	 10Bet Lyr	174638	 3.45	 0.00
284.237500	-67.233611	7107	   Kap Pav	174694	 4.44	 0.71
283.634583	-49.878611	7108	          	174730	 6.60	 0.08
283.007917	+13.965556	7109	          	174853	 6.14	 0.00
283.257917	 -9.576111	7110	          	174866	 6.34	 0.20
284.227917	-62.801111	7111	          	174877	 6.48	 1.53
282.899583	+28.783611	7112	          	174881	 6.18	 1.18
283.068333	+21.425278	7113	112    Her	174933	 5.48	-0.07
283.500417	-21.359722	7114	 33    Sgr	174947	 5.69	 1.23
282.902083	+36.538611	7115	          	174959	 6.09	-0.11
283.542500	-22.745000	7116	 32Nu 1Sgr	174974	 4.83	 1.41
281.444583	+74.085556	7117	          	174980	 5.27	 0.92
283.029583	+41.383333	7118	          	175132	 6.28	-0.09
283.679583	-15.603056	7119	          	175156	 5.10	 0.17
283.779583	-22.671389	7120	 35Nu 2Sgr	175190	 4.99	 1.33
283.816250	-26.296667	7121	 34Sig Sgr	175191	 2.02	-0.22
284.070417	-42.710556	7122	          	175219	 5.36	 1.00
282.895833	+52.975000	7123	          	175225	 5.51	 0.84
281.592500	+75.433889	7124	 50    Dra	175286	 5.35	 0.05
282.800417	+59.388333	7125	 47Omi Dra	175306	 4.66	 1.19
283.879167	-16.376667	7126	          	175317	 5.79	 0.36
284.651667	-60.200556	7127	   Ome Pav	175329	 5.14	 1.37
284.002500	-23.173611	7128	          	175360	 5.93	-0.02
284.168750	-37.343333	7129	          	175362	 5.38	-0.14
285.014583	-66.653333	7130	          	175401	 6.01	 0.97
283.431667	+36.971667	7131	 11Del1Lyr	175426	 5.58	-0.15
283.555000	+27.909444	7132	          	175443	 5.62	 1.35
283.687083	+22.645000	7133	113    Her	175492	 4.59	 0.78
284.615417	-52.938611	7134	   Lam Tel	175510	 4.87	-0.05
283.864583	 +6.615278	7135	          	175515	 5.57	 1.04
284.394583	-39.823333	7136	          	175529	 6.31	 0.20
283.306667	+50.708333	7137	          	175535	 4.92	 0.90
283.559583	+41.225556	7138	          	175576	 7.30	
283.625833	+36.898889	7139	 12Del2Lyr	175588	 4.30	 1.68
283.718750	+33.968611	7140	          	175635	 6.02	 0.91
284.055000	 +4.203611	7141	 63The1Ser	175638	 4.62	 0.17
284.060833	 +4.201944	7142	 63The2Ser	175639	 4.98	 0.20
284.094583	 -1.800000	7143	          	175640	 6.22	-0.05
284.106667	 +2.471111	7144	          	175679	 6.15	 0.97
284.335417	-20.656389	7145	 36Xi 1Sgr	175687	 5.08	 0.13
283.717500	+41.602778	7146	          	175740	 5.44	 1.03
284.016250	+17.995000	7147	          	175744	 6.63	-0.04
284.025833	+18.105278	7148	          	175743	 5.69	 1.09
284.265417	 -5.846111	7149	   Eta Sct	175751	 4.83	 1.08
284.432500	-21.106667	7150	 37Xi 2Sgr	175775	 3.51	 1.18
284.588750	-31.036111	7151	          	175794	 6.12	 1.35
284.680833	-37.107500	7152	   Eps CrA	175813	 4.87	 0.41
283.442917	+57.486944	7153	          	175823	 6.22	 1.23
283.696250	+48.859722	7154	          	175824	 5.77	 0.43
284.585417	-24.876667	7155	          	175852	 6.62	 0.08
284.796250	-39.534722	7156	          	175855	 6.49	-0.04
283.833750	+43.946111	7157	 13    Lyr	175865	 4.04	 1.59
284.319167	 +2.535278	7158	 64    Ser	175869	 5.57	 0.00
284.602500	-22.529444	7159	          	175892	 6.14	 0.09
281.408750	+79.942500	7160	          	175938	 6.39	 0.28
285.873750	-68.755278	7161	          	175986	 5.88	 0.56
284.256667	+32.901389	7162	          	176051	 5.22	 0.59
284.599167	 +6.240278	7163	          	176095	 6.21	 0.46
284.861667	-18.566944	7164	          	176123	 6.37	 0.99
284.561250	+17.360833	7165	          	176155	 5.38	 0.80
284.849167	-12.840556	7166	          	176162	 5.53	-0.04
284.695417	+13.906667	7167	 10    Aql	176232	 5.89	 0.25
285.103333	-24.942222	7168	          	176246	 6.36	 1.25
285.263333	-37.060833	7169	          	176269	 6.69	
285.267917	-37.061944	7170	          	176270	 6.40	-0.03
284.687917	+19.794167	7171	          	176301	 6.50	-0.04
284.773750	+13.622500	7172	 11    Aql	176303	 5.23	 0.53
284.822917	+10.140833	7173	          	176304	 6.75	 0.25
284.507917	+38.266111	7174	          	176318	 5.89	-0.17
284.187500	+57.815000	7175	 48    Dra	176408	 5.66	 1.15
284.905833	+15.068333	7176	 13Eps Aql	176411	 4.02	 1.08
285.536250	-41.910000	7177	          	176425	 6.23	 0.00
284.735833	+32.689444	7178	 14Gam Lyr	176437	 3.24	-0.05
284.694167	+40.679167	7179	          	176502	 6.22	-0.16
283.599583	+71.297222	7180	 52Ups Dra	176524	 4.82	 1.15
284.939583	+26.230556	7181	          	176527	 5.27	 1.24
285.407500	-22.695556	7182	          	176537	 6.24	 1.66
284.992083	+22.814722	7183	          	176541	 6.29	 1.75
284.368333	+58.225278	7184	          	176560	 6.46	 0.08
284.801250	+39.217778	7185	          	176582	 6.41	-0.17
285.389583	-15.282500	7186	          	176593	 6.32	 1.00
284.106667	+65.258056	7187	          	176598	 5.63	 0.95
285.778750	-42.095278	7188	   Zet CrA	176638	 4.75	-0.02
          	          	7189	 NOVA 1899	      	     	
285.989167	-51.018611	7190	          	176664	 5.93	 1.24
284.322500	+62.396667	7191	          	176668	 6.45	 0.93
285.003750	+32.145556	7192	 15Lam Lyr	176670	 4.93	 1.47
285.420000	 -5.738889	7193	 12    Aql	176678	 4.02	 1.09
285.652917	-29.880278	7194	 38Zet Sgr	176687	 2.60	 0.08
285.615417	-24.846944	7195	          	176704	 5.65	 1.23
284.748333	+50.809444	7196	          	176707	 6.30	 0.98
285.823750	-38.253333	7197	          	176723	 5.74	 0.32
285.272917	+19.309722	7198	          	176776	 6.39	
283.388333	+75.787500	7199	          	176795	 6.22	
285.344167	+20.833611	7200	          	176819	 6.69	 0.02
285.079167	+40.684167	7201	          	176844	 6.65	
285.322500	+26.291389	7202	          	176871	 5.69	-0.08
285.765833	-19.245278	7203	          	176884	 6.05	 1.29
285.230000	+33.802222	7204	          	176896	 6.01	 0.97
285.779167	-19.103333	7205	          	176903	 6.37	 0.48
285.395417	+25.025833	7206	          	176939	 6.72	
285.456250	+22.263889	7207	          	176971	 6.40	 0.16
285.590000	 +8.374167	7208	          	176981	 6.30	 1.67
285.727083	 -3.698889	7209	 14    Aql	176984	 5.42	 0.00
285.057083	+50.533611	7210	          	177003	 5.38	-0.18
286.104583	-31.046944	7211	          	177074	 5.50	 0.03
285.451250	+33.621389	7212	          	177109	 6.39	-0.12
286.582917	-52.340833	7213	   Rho Tel	177171	 5.16	 0.53
285.884167	 +1.818889	7214	          	177178	 5.83	 0.18
285.360000	+46.934722	7215	 16    Lyr	177196	 5.01	 0.19
285.719167	+19.661111	7216	          	177199	 6.09	 1.34
286.170833	-21.741667	7217	 39Omi Sgr	177241	 3.77	 1.01
285.180833	+55.658333	7218	 49    Dra	177249	 5.48	 0.86
286.044583	 +3.330556	7219	          	177332	 6.73	 0.13
286.100833	 -5.685000	7220	          	177336	 6.90	 4.19
287.469583	-68.424722	7221	          	177389	 5.33	 0.91
285.927083	+21.267778	7222	          	177392	 6.52	 0.32
286.731667	-48.299167	7223	          	177406	 5.97	-0.02
284.719167	+69.531111	7224	          	177410	 6.52	-0.15
286.240000	 -4.031389	7225	 15    Aql	177463	 5.42	 1.12
286.604583	-37.063333	7226	   Gam CrA	177474	 4.93	 0.52
286.604583	-37.063333	7227	   Gam CrA	177475	 4.99	 0.52
317.192500	-88.956389	7228	   Sig Oct	177482	 5.47	 0.27
285.529167	+52.261111	7229	          	177483	 6.31	 1.00
286.421667	-15.660278	7230	          	177517	 5.97	-0.02
286.327500	 -1.512778	7231	          	177552	 6.53	 0.35
